Tên sản phẩm,Giá bán,Giá vốn,Loại sản phẩm,Đơn vị tính,Danh mục sản phẩm,Thuế,,,,,,
Hộp Quà Xuân An Khang (Trà Lài - Trà Sen - Trà Xanh),320000,315000,Storable Product,Hộp,"Giỏ Quà, Combo",10%,,,,,,
Hộp Quà Xuân Bình An (Cà Phê Phin - Trà Lài Đặc Biệt - Trà Xanh Bà Tôi),370000,365000,Storable Product,Hộp,"Giỏ Quà, Combo",10%,,,,,,
Hộp Quà Tết Phú Quý (Trà Sen - Cà phê Robusta - Dâu Tây Sấy Giòn),380000,375000,Storable Product,Hộp,"Giỏ Quà, Combo",10%,,,,,,
Hộp Quà Tết Vinh Hoa (Trà Oolong - Trà Sen - Mứt Vỏ Bưởi Chanh Dây - Hạt Điều Rang Muối),500000,495000,Storable Product,Hộp,"Giỏ Quà, Combo",10%,,,,,,
Hộp Quà Xuân Hạnh Phúc (Trà Oolong - Cà Phê Arabica - Mứt Cam - Hạt Điều),750000,745000,Storable Product,Hộp,"Giỏ Quà, Combo",10%,,,,,,
Hộp Quà Xuân Hạnh Phúc (Trà Oolong - Cà Phê Arabica - Mứt Cam - Hạt Điều),750000,735000,Storable Product,Túi,Trà,10%,,,,,,
Trà Lài Cầu Đất - Túi 150 g,60000,45000,Storable Product,Túi,Trà,10%,,,,,,
Trà Xanh Cầu Đất - Túi 150 g,60000,45000,Storable Product,Túi,Trà,10%,,,,,,
Trà Sen DalatFarm - Túi 150 g,60000,45000,Storable Product,Túi,Trà,10%,,,,,,
Trà Xanh Hương Dứa - Túi 150 g,60000,45000,Storable Product,Túi,Trà,10%,,,,,,
Trà Đen Cầu Đất - Túi 250 g,60000,45000,Storable Product,Túi,Trà,10%,,,,,,
Trà Lài Cầu Đất (dòng đặc biệt) - Hộp 110 g,90000,75000,Storable Product,Túi,Trà,10%,,,,,,
Trà Xanh Cầu Đất - Hộp 110 g,90000,75000,Storable Product,Túi,Trà,10%,,,,,,
Trà Sen DalatFarm (dòng đặc biệt) - Hộp 110 g,90000,75000,Storable Product,Túi,Trà,10%,,,,,,
Trà Xanh Hương Dứa - Hộp 110 g,90000,75000,Storable Product,Túi,Trà,10%,,,,,,
Trà Đen Cầu Đất (dòng đặc biệt) - Hộp 100 g,90000,75000,Storable Product,Túi,Trà,10%,,,,,,
Trà Lài Cầu Đất (dòng đặc biệt) - Túi 110 g,70000,55000,Storable Product,Túi,Trà,10%,,,,,,
Trà Xanh Cầu Đất - Túi 110 g,70000,55000,Storable Product,Túi,Trà,10%,,,,,,
Trà Sen DalatFarm (dòng đặc biệt) - Túi 110 g,70000,55000,Storable Product,Túi,Trà,10%,,,,,,
Trà Oolong Kim Tuyên Cầu Đất - Túi 100 g,85000,70000,Storable Product,Túi,Trà,10%,,,,,,
Trà Oolong Kim Tuyên Cầu Đất - Hộp 100 g,110000,95000,Storable Product,Túi,Trà,10%,,,,,,
Trà Oolong Buồm - Túi 200 g,95000,80000,Storable Product,Túi,Trà,10%,,,,,,
Trà Oolong Kim Tuyên Cầu Đất - Túi 200 g,155000,140000,Storable Product,Túi,Trà,10%,,,,,,
Trà Oolong Chanh Dây - Hộp 350 g,150000,135000,Storable Product,Túi,Trà,10%,,,,,,
Trà Xanh Cầu Đất (phiên bản đặc biệt Bà Tôi) - Hộp 110 g,90000,75000,Storable Product,Túi,Trà,10%,,,,,,
Trà Oolong Kim Tuyên Cầu Đất  - Hộp 220 g,190000,175000,Storable Product,Túi,Trà,10%,,,,,,
Trà Hoa Cúc Vàng - Hộp 50 g,95000,80000,Storable Product,Túi,Trà,10%,,,,,,
Trà Nụ Hoa Lài - Hộp 70 g,95000,80000,Storable Product,Túi,Trà,10%,,,,,,
Trà Nụ Hoa Hồng - Hộp 100 g,125000,110000,Storable Product,Túi,Trà,10%,,,,,,
Trà Hoa Đậu Biếc - Hộp 70 g,95000,80000,Storable Product,Túi,Trà,10%,,,,,,
